HDFC BANK LIMITED
Account Holder Name:,RAVI KUMAR SHARMA
Account Number:,50100123456789
Statement Period:,01/05/2026,to,30/06/2026


Date,Narration,Chq/Ref No,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/05/2026,SALARY CREDIT ACME TECH PVT LTD,HDFC439563,01/05/2026,,68000.00,120340.00
02/05/2026,RENT TRANSFER LANDLORD NEFT,HDFC258176,02/05/2026,18000.00,,102340.00
03/05/2026,EMI HDB FINANCIAL CARLOAN,HDFC514002,03/05/2026,9500.00,,92840.00
04/05/2026,SIP ZERODHA COIN MUTUAL FUND,HDFC782554,04/05/2026,5000.00,,87840.00
05/05/2026,NACH-LIC PREMIUM-AUTODEBIT,HDFC150631,05/05/2026,2150.00,,85690.00
06/05/2026,UPI-SWIGGY-OKAXIS-XXXX1234,HDFC175954,06/05/2026,420.00,,85270.00
07/05/2026,UPI-ZOMATO-OKICICI-XXXX5678,HDFC961168,07/05/2026,560.00,,84710.00
08/05/2026,POS-4521-RELIANCE FRESH,HDFC661913,08/05/2026,1840.00,,82870.00
09/05/2026,BIGBASKET ONLINE GROCERY,HDFC198702,09/05/2026,3120.00,,79750.00
10/05/2026,UPI-UBER INDIA-OKHDFC,HDFC483452,10/05/2026,310.00,,79440.00
11/05/2026,UPI-OLA CABS-OKSBI,HDFC711097,11/05/2026,265.00,,79175.00
12/05/2026,HPCL FUEL PETROL,HDFC160816,12/05/2026,2000.00,,77175.00
13/05/2026,NETFLIX SUBSCRIPTION,HDFC632084,13/05/2026,649.00,,76526.00
14/05/2026,UPI-SPOTIFY INDIA,HDFC325127,14/05/2026,119.00,,76407.00
15/05/2026,AIRTEL POSTPAID RECHARGE BBPS,HDFC139317,15/05/2026,799.00,,75608.00
16/05/2026,TNEB ELECTRICITY BILL,HDFC190122,16/05/2026,1430.00,,74178.00
17/05/2026,FLIPKART INTERNET ORDER,HDFC554710,17/05/2026,1799.00,,72379.00
18/05/2026,APOLLO PHARMACY MEDPLUS,HDFC538485,18/05/2026,640.00,,71739.00
19/05/2026,IRCTC RAIL TICKET,HDFC173248,19/05/2026,1245.00,,70494.00
20/05/2026,INTEREST CREDIT SAVINGS,HDFC352353,20/05/2026,,310.00,70804.00
01/06/2026,UPI-AMAZON-OKAXIS PRIME,HDFC195119,01/06/2026,1499.00,,69305.00
02/06/2026,REFUND MYNTRA ORDER CANCELLED,HDFC677814,02/06/2026,,899.00,70204.00
03/06/2026,SALARY CREDIT ACME TECH PVT LTD,HDFC545140,03/06/2026,,68000.00,138204.00
04/06/2026,RENT TRANSFER LANDLORD NEFT,HDFC161981,04/06/2026,18000.00,,120204.00
05/06/2026,EMI HDB FINANCIAL CARLOAN,HDFC967017,05/06/2026,9500.00,,110704.00
06/06/2026,SIP ZERODHA COIN MUTUAL FUND,HDFC692921,06/06/2026,5000.00,,105704.00
07/06/2026,NACH-LIC PREMIUM-AUTODEBIT,HDFC229815,07/06/2026,2150.00,,103554.00
08/06/2026,UPI-SWIGGY-OKAXIS-XXXX1234,HDFC334083,08/06/2026,420.00,,103134.00
09/06/2026,UPI-ZOMATO-OKICICI-XXXX5678,HDFC761259,09/06/2026,560.00,,102574.00
10/06/2026,POS-4521-RELIANCE FRESH,HDFC757911,10/06/2026,1840.00,,100734.00
11/06/2026,BIGBASKET ONLINE GROCERY,HDFC711316,11/06/2026,3120.00,,97614.00
12/06/2026,UPI-UBER INDIA-OKHDFC,HDFC164867,12/06/2026,310.00,,97304.00
13/06/2026,UPI-OLA CABS-OKSBI,HDFC705136,13/06/2026,265.00,,97039.00
14/06/2026,HPCL FUEL PETROL,HDFC713984,14/06/2026,2000.00,,95039.00
15/06/2026,NETFLIX SUBSCRIPTION,HDFC515949,15/06/2026,649.00,,94390.00
16/06/2026,UPI-SPOTIFY INDIA,HDFC151998,16/06/2026,119.00,,94271.00
17/06/2026,AIRTEL POSTPAID RECHARGE BBPS,HDFC331821,17/06/2026,799.00,,93472.00
18/06/2026,TNEB ELECTRICITY BILL,HDFC148845,18/06/2026,1430.00,,92042.00
19/06/2026,FLIPKART INTERNET ORDER,HDFC683705,19/06/2026,1799.00,,90243.00
20/06/2026,APOLLO PHARMACY MEDPLUS,HDFC239643,20/06/2026,640.00,,89603.00
